facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,anthelmintic,trichostongyle,epg,detected
nabu,332L,5/20/24,5/24/24,cow,GP5,4/15/24,,1,50,1
nabu,333L,5/20/24,5/24/24,cow,GP5,4/15/24,,1,100,1
nabu,355L,5/20/24,5/24/24,cow,GP3 ,4/15/24,noromectin+safeguard,0,<50,0
nabu,382L,5/20/24,5/24/24,cow,GP3 ,4/15/24,valcor,1,150,1
nabu,394L,5/20/24,5/24/24,cow,GP5,4/15/24,valcor,0,<50,0
nabu,402L,5/20/24,5/24/24,cow,GP3 ,4/15/24,valcor,0,<50,0
nabu,403L,5/20/24,5/24/24,cow,GP3 ,4/15/24,dectomax,0,<50,0
nabu,7L,5/1/25,5/7/25,cow,,,,1,1550,1
nabu,303L,5/1/25,5/7/25,cow,,,,0,<50,0
nabu,327L,5/1/25,5/7/25,cow,,,,1,<50,1
nabu,401L,5/1/25,5/7/25,cow,,,,1,<50,1
nabu,422L,5/1/25,5/7/25,cow,,,,1,<50,1
nabu,371L,5/1/25,5/7/25,cow,,,,0,<50,0
nabu,387L,5/1/25,5/7/25,cow,,,,1,<50,1
nabu,368L,5/1/25,5/7/25,cow,,,,0,<50,0
nabu,441L,5/1/25,5/7/25,cow,,,,0,<50,0
nabu,008L,5/1/25,5/7/25,cow,,,,0,<50,0
nabu,403L,5/1/25,5/7/25,cow,,,,0,<50,0
camphill,129,6/13/25,6/13/25,cow,,,,1,100,1
camphill,311,6/13/25,6/13/25,cow,,,,1,50,1
camphill,121,6/13/25,6/13/25,cow,,,,1,50,1
camphill,unknown,6/13/25,6/13/25,cow,,,,1,<50,1
camphill,312,6/13/25,6/13/25,cow,,,,0,<50,0
camphill,114,6/13/25,6/13/25,cow,,,,1,<50,1
camphill,unknown2,6/13/25,6/13/25,cow,,,,1,<50,1
camphill,372,6/13/25,6/13/25,cow,,,,0,<50,0
camphill,8723,6/13/25,6/13/25,cow,,,,1,<50,1
camphill,9006,6/13/25,6/13/25,cow,,,,0,<50,0
camphill,906,6/13/25,6/13/25,cow,,,,0,<50,0
